,Seat Count,Square Foot,Seat Type,  Whiteboard (W) / Blackboard (B),Projector/Display,Laptop Connection (VGA),HDMI,Document Camera,DVD + VHS,DVD + Blu-Ray,Dedicated WIFI,Microphone,Touchpanel,Overhead Transparency Projector,Dedicated Room PC,"Assisted Listening
Listening",Video Conferencing,Notes
Adams,,,,,,,,,,,,,,,,,,
100,36,657,Tables/Chairs,W,f,1,,1,1,,,,,,1,,,COB IT
